Notebook,ForLoops,RangeIters,MaxDepth
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1073262.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1073820.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1074067.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1074750.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1074927.ipynb,1,1,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1075275.ipynb,27,17,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1076234.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_107655.ipynb,9,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1076705.ipynb,6,3,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1077020.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1077662.ipynb,5,5,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_107772.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1078040.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_107922.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_107923.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1079910.ipynb,4,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_108009.ipynb,7,0,4
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_108010.ipynb,7,0,4
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1081087.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1081591.ipynb,5,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1081631.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1081735.ipynb,9,4,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1082081.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1082301.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1083162.ipynb,4,1,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1083789.ipynb,2,2,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1083998.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1084049.ipynb,6,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1084120.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1084279.ipynb,3,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1084366.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1085215.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_108557.ipynb,9,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1086664.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1086883.ipynb,24,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1086912.ipynb,9,4,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1086913.ipynb,9,4,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1087152.ipynb,24,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1087282.ipynb,2,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1087640.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1087641.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_108809.ipynb,9,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1088117.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1088133.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1088407.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1088408.ipynb,2,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1088481.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1088554.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1088843.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1089469.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1089652.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1089705.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1090286.ipynb,3,3,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1090714.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1090811.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1090812.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1090813.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1090914.ipynb,2,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1090962.ipynb,10,3,3
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1091027.ipynb,5,0,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1091028.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1091842.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1092108.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1092510.ipynb,9,6,2
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1093035.ipynb,0,0,0
